Cement;Blast Furnace Slag;Fly Ash;Water;Superplasticizer;Coarse Aggregate;Fine Aggregate;Age;Concrete compressive strength
237.5;237.5;0.00;228.00;0.00;932.00;594.00;7.00;26258003984.00
380.00;95.00;0.00;228.00;0.00;932.00;594.00;7.00;32823194456.00
332.5;142.5;0.00;228.00;0.00;932.00;594.00;180.00;3977931782.00
190.00;190.00;0.00;228.00;0.00;932.00;670.00;180.00;46931941844.00
237.5;237.5;0.00;228.00;0.00;932.00;594.00;90.00;33116911232.00
304.00;76.00;0.00;228.00;0.00;932.00;670.00;90.00;49185149412.00
139.6;209.4;0.00;192.00;0.00;1047.00;806.9;7.00;1458931216.00
198.6;132.4;0.00;192.00;0.00;978.4;825.5;7.00;14638264956.00
475.00;0.00;0.00;228.00;0.00;932.00;594.00;365.00;41934619796.00
198.6;132.4;0.00;192.00;0.00;978.4;825.5;3.00;9131420144.00
304.00;76.00;0.00;228.00;0.00;932.00;670.00;180.00;5094882902.00
332.5;142.5;0.00;228.00;0.00;932.00;594.00;28.00;3301900564.00
304.00;76.00;0.00;228.00;0.00;932.00;670.00;270.00;54378282644.00
266.00;114.00;0.00;228.00;0.00;932.00;670.00;270.00;51732763232.00
310.00;0.00;0.00;192.00;0.00;971.00;850.6;3.00;986640156.00
190.00;190.00;0.00;228.00;0.00;932.00;670.00;270.00;50655112244.00
266.00;114.00;0.00;228.00;0.00;932.00;670.00;180.00;48695621452.00
342.00;38.00;0.00;228.00;0.00;932.00;670.00;270.00;55064311264.00
139.6;209.4;0.00;192.00;0.00;1047.00;806.9;360.00;44698039604.00
332.5;142.5;0.00;228.00;0.00;932.00;594.00;7.00;30275580636.00
190.00;190.00;0.00;228.00;0.00;932.00;670.00;28.00;40856968808.00
485.00;0.00;0.00;146.00;0.00;1120.00;800.00;28.00;7198818916.00
374.00;189.2;0.00;170.1;10.1;926.1;756.7;3.00;3439795764.00
313.3;262.2;0.00;175.5;8.6;1046.9;611.8;3.00;2879941252.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;3.00;3339821744.00
425.00;106.3;0.00;151.4;18.6;936.00;803.7;3.00;363009114.00
375.00;93.8;0.00;126.6;23.4;852.1;992.6;3.00;2899936056.00
475.00;118.8;0.00;181.1;8.9;852.1;781.5;3.00;3779707432.00
469.00;117.2;0.00;137.8;32.2;852.1;840.5;3.00;401964508.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;3.00;3339821744.00
388.6;97.1;0.00;157.9;12.1;852.1;925.7;3.00;28096147.00
531.3;0.00;0.00;141.8;28.2;852.1;893.7;3.00;412996124.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;3.00;3339821744.00
318.8;212.5;0.00;155.7;14.3;852.1;880.4;3.00;252003478.00
401.8;94.7;0.00;147.4;11.4;946.8;852.1;3.00;4109966436.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;3.00;353011712.00
323.7;282.8;0.00;183.8;10.3;942.7;659.9;3.00;2829609504.00
379.5;151.2;0.00;153.9;15.9;1134.3;605.00;3.00;2859946448.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;3.00;353011712.00
286.3;200.9;0.00;144.7;11.2;1004.6;803.7;3.00;2440055564.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;3.00;353011712.00
439.00;177.00;0.00;186.00;11.1;884.9;707.9;3.00;39300132.00
389.9;189.00;0.00;145.9;22.00;944.7;755.8;3.00;4059634688.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;3.00;353011712.00
337.9;189.00;0.00;174.9;9.5;944.7;755.8;3.00;240971862.00
374.00;189.2;0.00;170.1;10.1;926.1;756.7;7.00;4620178676.00
313.3;262.2;0.00;175.5;8.6;1046.9;611.8;7.00;4279577532.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;7.00;4920100736.00
425.00;106.3;0.00;151.4;18.6;936.00;803.7;7.00;4680163088.00
375.00;93.8;0.00;126.6;23.4;852.1;992.6;7.00;4569846928.00
475.00;118.8;0.00;181.1;8.9;852.1;781.5;7.00;5559934464.00
469.00;117.2;0.00;137.8;32.2;852.1;840.5;7.00;5489607912.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;7.00;4920100736.00
388.6;97.1;0.00;157.9;12.1;852.1;925.7;7.00;3490127512.00
531.3;0.00;0.00;141.8;28.2;852.1;893.7;7.00;4689815752.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;7.00;4920100736.00
318.8;212.5;0.00;155.7;14.3;852.1;880.4;7.00;3339821744.00
401.8;94.7;0.00;147.4;11.4;946.8;852.1;7.00;5409628696.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;7.00;5589581932.00
323.7;282.8;0.00;183.8;10.3;942.7;659.9;7.00;4980085148.00
379.5;151.2;0.00;153.9;15.9;1134.3;605.00;7.00;4709810556.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;7.00;5589581932.00
286.3;200.9;0.00;144.7;11.2;1004.6;803.7;7.00;3799702236.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;7.00;5589581932.00
439.00;177.00;0.00;186.00;11.1;884.9;707.9;7.00;5609576736.00
389.9;189.00;0.00;145.9;22.00;944.7;755.8;7.00;5909498796.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;7.00;2289749796.00
337.9;189.00;0.00;174.9;9.5;944.7;755.8;7.00;3510122316.00
374.00;189.2;0.00;170.1;10.1;926.1;756.7;28.00;6109446836.00
313.3;262.2;0.00;175.5;8.6;1046.9;611.8;28.00;5979825348.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;28.00;602946762.00
425.00;106.3;0.00;151.4;18.6;936.00;803.7;28.00;6179773388.00
375.00;93.8;0.00;126.6;23.4;852.1;992.6;28.00;5669561148.00
475.00;118.8;0.00;181.1;8.9;852.1;781.5;28.00;6829949256.00
469.00;117.2;0.00;137.8;32.2;852.1;840.5;28.00;6689985628.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;28.00;602946762.00
388.6;97.1;0.00;157.9;12.1;852.1;925.7;28.00;5069717028.00
531.3;0.00;0.00;141.8;28.2;852.1;893.7;28.00;563991368.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;28.00;602946762.00
318.8;212.5;0.00;155.7;14.3;852.1;880.4;28.00;5549592324.00
401.8;94.7;0.00;147.4;11.4;946.8;852.1;28.00;684994406.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;28.00;7129871316.00
323.7;282.8;0.00;183.8;10.3;942.7;659.9;28.00;7469782984.00
379.5;151.2;0.00;153.9;15.9;1134.3;605.00;28.00;5220022796.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;28.00;7129871316.00
286.3;200.9;0.00;144.7;11.2;1004.6;803.7;28.00;6769964844.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;28.00;7129871316.00
439.00;177.00;0.00;186.00;11.1;884.9;707.9;28.00;6599664272.00
389.9;189.00;0.00;145.9;22.00;944.7;755.8;28.00;744978818.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;28.00;7129871316.00
337.9;189.00;0.00;174.9;9.5;944.7;755.8;28.00;4989737812.00
374.00;189.2;0.00;170.1;10.1;926.1;756.7;56.00;633973182.00
313.3;262.2;0.00;175.5;8.6;1046.9;611.8;56.00;6490037588.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;56.00;6430053176.00
425.00;106.3;0.00;151.4;18.6;936.00;803.7;56.00;6490037588.00
375.00;93.8;0.00;126.6;23.4;852.1;992.6;56.00;6019814956.00
475.00;118.8;0.00;181.1;8.9;852.1;781.5;56.00;7229845336.00
469.00;117.2;0.00;137.8;32.2;852.1;840.5;56.00;6929923276.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;56.00;6430053176.00
388.6;97.1;0.00;157.9;12.1;852.1;925.7;56.00;5519944856.00
531.3;0.00;0.00;141.8;28.2;852.1;893.7;56.00;5879851328.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;56.00;6430053176.00
318.8;212.5;0.00;155.7;14.3;852.1;880.4;56.00;6610006412.00
401.8;94.7;0.00;147.4;11.4;946.8;852.1;56.00;7369808964.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;56.00;7729715436.00
323.7;282.8;0.00;183.8;10.3;942.7;659.9;56.00;8019984832.00
379.5;151.2;0.00;153.9;15.9;1134.3;605.00;56.00;5489607912.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;56.00;7729715436.00
286.3;200.9;0.00;144.7;11.2;1004.6;803.7;56.00;7299482412.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;56.00;7729715436.00
439.00;177.00;0.00;186.00;11.1;884.9;707.9;56.00;7169860924.00
389.9;189.00;0.00;145.9;22.00;944.7;755.8;56.00;7940005616.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;56.00;7729715436.00
337.9;189.00;0.00;174.9;9.5;944.7;755.8;56.00;5989478012.00
374.00;189.2;0.00;170.1;10.1;926.1;756.7;91.00;6490037588.00
313.3;262.2;0.00;175.5;8.6;1046.9;611.8;91.00;6659648684.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;91.00;6519685056.00
425.00;106.3;0.00;151.4;18.6;936.00;803.7;91.00;6669990824.00
375.00;93.8;0.00;126.6;23.4;852.1;992.6;91.00;625009994.00
475.00;118.8;0.00;181.1;8.9;852.1;781.5;91.00;7419451236.00
469.00;117.2;0.00;137.8;32.2;852.1;840.5;91.00;7069886904.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;91.00;6519685056.00
388.6;97.1;0.00;157.9;12.1;852.1;925.7;91.00;5759882504.00
531.3;0.00;0.00;141.8;28.2;852.1;893.7;91.00;5919840936.00
425.00;106.3;0.00;153.5;16.5;852.1;887.1;91.00;6519685056.00
318.8;212.5;0.00;155.7;14.3;852.1;880.4;91.00;6809954452.00
401.8;94.7;0.00;147.4;11.4;946.8;852.1;91.00;75497622.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;91.00;7929663476.00
379.5;151.2;0.00;153.9;15.9;1134.3;605.00;91.00;5649566344.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;91.00;7929663476.00
286.3;200.9;0.00;144.7;11.2;1004.6;803.7;91.00;7680073164.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;91.00;7929663476.00
439.00;177.00;0.00;186.00;11.1;884.9;707.9;91.00;7329819356.00
389.9;189.00;0.00;145.9;22.00;944.7;755.8;91.00;825992248.00
362.6;189.00;0.00;164.9;11.6;944.7;755.8;91.00;7929663476.00
337.9;189.00;0.00;174.9;9.5;944.7;755.8;91.00;6779617508.00
222.36;0.00;96.67;189.29;4.46;967.08;870.32;3.00;1157630204.00
222.36;0.00;96.67;189.29;4.46;967.08;870.32;14.00;2444881896.00
222.36;0.00;96.67;189.29;4.46;967.08;870.32;28.00;248900836.00
222.36;0.00;96.67;189.29;4.46;967.08;870.32;56.00;2944751996.00
222.36;0.00;96.67;189.29;4.46;967.08;870.32;100.00;407135578.00
233.81;0.00;94.58;197.89;4567.00;947.04;852.16;3.00;1038350856.00
233.81;0.00;94.58;197.89;4567.00;947.04;852.16;14.00;2213907436.00
233.81;0.00;94.58;197.89;4567.00;947.04;852.16;28.00;2283544512.00
233.81;0.00;94.58;197.89;4567.00;947.04;852.16;56.00;2766177712.00
233.81;0.00;94.58;197.89;4567.00;947.04;852.16;100.00;3455653712.00
194.68;0.00;100.52;165.62;7.48;1006.4;905.9;3.00;1245193656.00
194.68;0.00;100.52;165.62;7.48;1006.4;905.9;14.00;2498661024.00
194.68;0.00;100.52;165.62;7.48;1006.4;905.9;28.00;2572434956.00
194.68;0.00;100.52;165.62;7.48;1006.4;905.9;56.00;3396358776.00
194.68;0.00;100.52;165.62;7.48;1006.4;905.9;100.00;3734202016.00
190.68;0.00;125.4;162.14;7.77;1090.00;804.01;3.00;1504436632.00
190.68;0.00;125.4;162.14;7.77;1090.00;804.01;14.00;210634918.00
190.68;0.00;125.4;162.14;7.77;1090.00;804.01;28.00;2640003604.00
190.68;0.00;125.4;162.14;7.77;1090.00;804.01;56.00;3534253976.00
190.68;0.00;125.4;162.14;7.77;1090.00;804.01;100.00;4056876784.00
212.07;0.00;121.62;180.31;5.69;1057.6;779.32;3.00;1247262084.00
212.07;0.00;121.62;180.31;5.69;1057.6;779.32;14.00;2091870184.00
212.07;0.00;121.62;180.31;5.69;1057.6;779.32;28.00;2490387312.00
212.07;0.00;121.62;180.31;5.69;1057.6;779.32;56.00;3420490436.00
212.07;0.00;121.62;180.31;5.69;1057.6;779.32;100.00;396103962.00
229.97;0.00;118.31;195.47;4.63;1029.4;758.59;3.00;100318758.00
229.97;0.00;118.31;195.47;4.63;1029.4;758.59;14.00;2008443588.00
229.97;0.00;118.31;195.47;4.63;1029.4;758.59;28.00;2448329276.00
229.97;0.00;118.31;195.47;4.63;1029.4;758.59;56.00;3153663224.00
229.97;0.00;118.31;195.47;4.63;1029.4;758.59;100.00;3534253976.00
190.34;0.00;125.18;161.85;9.88;1088.1;802.59;3.00;94458212.00
190.34;0.00;125.18;161.85;9.88;1088.1;802.59;14.00;227182342.00
190.34;0.00;125.18;161.85;9.88;1088.1;802.59;28.00;2846846404.00
190.34;0.00;125.18;161.85;9.88;1088.1;802.59;56.00;3856239268.00
190.34;0.00;125.18;161.85;9.88;1088.1;802.59;100.00;4038950408.00
166.09;0.00;163.27;176.46;4.49;1058.6;780.09;3.00;1076272036.00
166.09;0.00;163.27;176.46;4.49;1058.6;780.09;14.00;2548303296.00
166.09;0.00;163.27;176.46;4.49;1058.6;780.09;28.00;2153923024.00
166.09;0.00;163.27;176.46;4.49;1058.6;780.09;56.00;2862704352.00
166.09;0.00;163.27;176.46;4.49;1058.6;780.09;100.00;335430074.00
167.95;42.08;163.83;121.75;5.72;1058.7;780.11;3.00;774971024.00
167.95;42.08;163.83;121.75;5.72;1058.7;780.11;14.00;178229546.00
167.95;42.08;163.83;121.75;5.72;1058.7;780.11;28.00;2424197616.00
167.95;42.08;163.83;121.75;5.72;1058.7;780.11;56.00;328535314.00
167.95;42.08;163.83;121.75;5.72;1058.7;780.11;100.00;392311844.00
213.72;98.05;24.51;181.71;6.86;1065.8;785.38;3.00;179953236.00
213.72;98.05;24.51;181.71;6.86;1065.8;785.38;14.00;3038520732.00
213.72;98.05;24.51;181.71;6.86;1065.8;785.38;28.00;4570536404.00
213.72;98.05;24.51;181.71;6.86;1065.8;785.38;56.00;5077301264.00
213.72;98.05;24.51;181.71;6.86;1065.8;785.38;100.00;5390323368.00
213.76;98.06;24.52;181.74;6.65;1066.00;785.52;3.00;1318278112.00
213.76;98.06;24.52;181.74;6.65;1066.00;785.52;14.00;1783674412.00
213.76;98.06;24.52;181.74;6.65;1066.00;785.52;28.00;402309246.00
213.76;98.06;24.52;181.74;6.65;1066.00;785.52;56.00;4713257936.00
213.76;98.06;24.52;181.74;6.65;1066.00;785.52;100.00;4997322048.00
229.68;0.00;118.16;195.23;6.13;1028.1;757.63;3.00;1335515012.00
229.68;0.00;118.16;195.23;6.13;1028.1;757.63;14.00;2231833812.00
229.68;0.00;118.16;195.23;6.13;1028.1;757.63;28.00;2453845084.00
229.68;0.00;118.16;195.23;6.13;1028.1;757.63;56.00;3135047372.00
229.68;0.00;118.16;195.23;6.13;1028.1;757.63;100.00;4085834776.00
238.05;0.00;94.11;186.66;7.00;949.91;847.01;3.00;1993275116.00
238.05;0.00;94.11;186.66;7.00;949.91;847.01;14.00;2568987576.00
238.05;0.00;94.11;186.66;7.00;949.91;847.01;28.00;302335226.00
238.05;0.00;94.11;186.66;7.00;949.91;847.01;56.00;3958971192.00
238.05;0.00;94.11;186.66;7.00;949.91;847.01;100.00;44298833.00
250.00;0.00;95.69;187.42;5.53;956.86;861.17;3.00;1381709904.00
250.00;0.00;95.69;187.42;5.53;956.86;861.17;14.00;2491766264.00
250.00;0.00;95.69;187.42;5.53;956.86;861.17;28.00;2921999288.00
250.00;0.00;95.69;187.42;5.53;956.86;861.17;56.00;3832797084.00
250.00;0.00;95.69;187.42;5.53;956.86;861.17;100.00;4234761592.00
212.52;0.00;100.37;159.32;8.71;1007.8;903.59;3.00;1354130864.00
212.52;0.00;100.37;159.32;8.71;1007.8;903.59;14.00;2631040416.00
212.52;0.00;100.37;159.32;8.71;1007.8;903.59;28.00;3164005364.00
212.52;0.00;100.37;159.32;8.71;1007.8;903.59;56.00;4254756396.00
212.52;0.00;100.37;159.32;8.71;1007.8;903.59;100.00;42919881.00
212.57;0.00;100.39;159.35;10.37;1003.8;903.79;3.00;1333446584.00
212.57;0.00;100.39;159.35;10.37;1003.8;903.79;14.00;253727168.00
212.57;0.00;100.39;159.35;10.37;1003.8;903.79;28.00;37404073.00
212.57;0.00;100.39;159.35;10.37;1003.8;903.79;56.00;4439535964.00
212.57;0.00;100.39;159.35;10.37;1003.8;903.79;100.00;4773931824.00
212.00;0.00;124.78;159.00;7.84;1085.4;799.54;3.00;1951906556.00
212.00;0.00;124.78;159.00;7.84;1085.4;799.54;14.00;3135047372.00
212.00;0.00;124.78;159.00;7.84;1085.4;799.54;28.00;3850033984.00
212.00;0.00;124.78;159.00;7.84;1085.4;799.54;56.00;4508483564.00
212.00;0.00;124.78;159.00;7.84;1085.4;799.54;100.00;478151606.00
231.75;0.00;121.62;173.96;6.72;1056.4;778.45;3.00;1543736764.00
231.75;0.00;121.62;173.96;6.72;1056.4;778.45;14.00;2677235308.00
231.75;0.00;121.62;173.96;6.72;1056.4;778.45;28.00;3372916592.00
231.75;0.00;121.62;173.96;6.72;1056.4;778.45;56.00;4269924868.00
231.75;0.00;121.62;173.96;6.72;1056.4;778.45;100.00;4583636448.00
251.37;0.00;118.27;188.45;5.75;1028.4;757.73;3.00;1722311048.00
251.37;0.00;118.27;188.45;5.75;1028.4;757.73;14.00;2993015316.00
251.37;0.00;118.27;188.45;5.75;1028.4;757.73;28.00;2965436276.00
251.37;0.00;118.27;188.45;5.75;1028.4;757.73;56.00;3696970312.00
251.37;0.00;118.27;188.45;5.75;1028.4;757.73;100.00;4358177796.00
251.37;0.00;118.27;188.45;6.35;1028.4;757.73;3.00;1312072828.00
251.37;0.00;118.27;188.45;6.35;1028.4;757.73;14.00;2442813468.00
251.37;0.00;118.27;188.45;6.35;1028.4;757.73;28.00;3266047812.00
251.37;0.00;118.27;188.45;6.35;1028.4;757.73;56.00;3663875464.00
251.37;0.00;118.27;188.45;6.35;1028.4;757.73;100.00;4420920112.00
181.38;0.00;167.01;169.59;7.56;1055.6;777.8;3.00;1362404576.00
181.38;0.00;167.01;169.59;7.56;1055.6;777.8;14.00;2160128308.00
181.38;0.00;167.01;169.59;7.56;1055.6;777.8;28.00;2777209328.00
181.38;0.00;167.01;169.59;7.56;1055.6;777.8;56.00;3557006684.00
181.38;0.00;167.01;169.59;7.56;1055.6;777.8;100.00;453675208.00
182.04;45.21;121.97;170.21;8.19;1059.4;780.65;3.00;731534036.00
182.04;45.21;121.97;170.21;8.19;1059.4;780.65;14.00;2150475644.00
182.04;45.21;121.97;170.21;8.19;1059.4;780.65;28.00;312677366.00
182.04;45.21;121.97;170.21;8.19;1059.4;780.65;56.00;4349904084.00
182.04;45.21;121.97;170.21;8.19;1059.4;780.65;100.00;4867011084.00
168.88;42.22;124.25;158.33;10.83;1080.8;796.15;3.00;739807748.00
168.88;42.22;124.25;158.33;10.83;1080.8;796.15;14.00;235111316.00
168.88;42.22;124.25;158.33;10.83;1080.8;796.15;28.00;3111605188.00
168.88;42.22;124.25;158.33;10.83;1080.8;796.15;56.00;3914844728.00
168.88;42.22;124.25;158.33;10.83;1080.8;796.15;100.00;4815300384.00
290.35;0.00;96.18;168.08;9.41;961.18;865.00;3.00;2250449664.00
290.35;0.00;96.18;168.08;9.41;961.18;865.00;14.00;3467374804.00
290.35;0.00;96.18;168.08;9.41;961.18;865.00;28.00;3473580088.00
290.35;0.00;96.18;168.08;9.41;961.18;865.00;56.00;4508483564.00
290.35;0.00;96.18;168.08;9.41;961.18;865.00;100.00;4897348028.00
277.05;0.00;97.39;160.6;11.83;973.9;875.61;3.00;2313881456.00
277.05;0.00;97.39;160.6;11.83;973.9;875.61;14.00;41885667.00
277.05;0.00;97.39;160.6;11.83;973.9;875.61;28.00;4828400428.00
277.05;0.00;97.39;160.6;11.83;973.9;875.61;56.00;5103501352.00
277.05;0.00;97.39;160.6;11.83;973.9;875.61;100.00;556407132.00
295.71;0.00;95.64;171.54;8.87;955.14;859.2;3.00;2294576128.00
295.71;0.00;95.64;171.54;8.87;955.14;859.2;14.00;352322236.00
295.71;0.00;95.64;171.54;8.87;955.14;859.2;28.00;3994134468.00
295.71;0.00;95.64;171.54;8.87;955.14;859.2;56.00;4871837416.00
295.71;0.00;95.64;171.54;8.87;955.14;859.2;100.00;5204164848.00
251.81;0.00;99.94;146.14;12.35;1006.00;899.76;3.00;2102212324.00
251.81;0.00;99.94;146.14;12.35;1006.00;899.76;14.00;3335684888.00
251.81;0.00;99.94;146.14;12.35;1006.00;899.76;28.00;3394290348.00
251.81;0.00;99.94;146.14;12.35;1006.00;899.76;56.00;4414025352.00
251.81;0.00;99.94;146.14;12.35;1006.00;899.76;100.00;453675208.00
249.1;0.00;98.75;158.11;12.8;987.76;889.01;3.00;1536152528.00
249.1;0.00;98.75;158.11;12.8;987.76;889.01;14.00;286822016.00
249.1;0.00;98.75;158.11;12.8;987.76;889.01;28.00;3084715624.00
249.1;0.00;98.75;158.11;12.8;987.76;889.01;56.00;4203045696.00
249.1;0.00;98.75;158.11;12.8;987.76;889.01;100.00;510556978.00
252.31;0.00;98.75;146.25;14.17;987.76;889.01;3.00;2178054684.00
252.31;0.00;98.75;146.25;14.17;987.76;889.01;14.00;4229245784.00
252.31;0.00;98.75;146.25;14.17;987.76;889.01;28.00;5060064364.00
252.31;0.00;98.75;146.25;14.17;987.76;889.01;56.00;5582687172.00
252.31;0.00;98.75;146.25;14.17;987.76;889.01;100.00;609496784.00
246.83;0.00;125.08;143.3;11.99;1086.8;800.89;3.00;2352492112.00
246.83;0.00;125.08;143.3;11.99;1086.8;800.89;14.00;4221661548.00
246.83;0.00;125.08;143.3;11.99;1086.8;800.89;28.00;525035974.00
246.83;0.00;125.08;143.3;11.99;1086.8;800.89;56.00;6032225524.00
246.83;0.00;125.08;143.3;11.99;1086.8;800.89;100.00;6642411784.00
275.07;0.00;121.35;159.48;9.9;1053.6;777.5;3.00;2380071152.00
275.07;0.00;121.35;159.48;9.9;1053.6;777.5;14.00;3876923548.00
275.07;0.00;121.35;159.48;9.9;1053.6;777.5;28.00;513314882.00
275.07;0.00;121.35;159.48;9.9;1053.6;777.5;56.00;568472962.00
275.07;0.00;121.35;159.48;9.9;1053.6;777.5;100.00;5860546.00
297.16;0.00;117.54;174.8;9.52;1022.8;753.45;3.00;2191154728.00
297.16;0.00;117.54;174.8;9.52;1022.8;753.45;14.00;369903874.00
297.16;0.00;117.54;174.8;9.52;1022.8;753.45;28.00;47401475.00
297.16;0.00;117.54;174.8;9.52;1022.8;753.45;56.00;5195891136.00
297.16;0.00;117.54;174.8;9.52;1022.8;753.45;100.00;567438748.00
213.74;0.00;174.74;154.79;10.16;1053.5;776.35;3.00;1757474324.00
213.74;0.00;174.74;154.79;10.16;1053.5;776.35;14.00;3372916592.00
213.74;0.00;174.74;154.79;10.16;1053.5;776.35;28.00;4014818748.00
213.74;0.00;174.74;154.79;10.16;1053.5;776.35;56.00;466430514.00
213.74;0.00;174.74;154.79;10.16;1053.5;776.35;100.00;5007664188.00
213.5;0.00;174.24;154.61;11.66;1052.3;775.48;3.00;1736790044.00
213.5;0.00;174.24;154.61;11.66;1052.3;775.48;14.00;3370158688.00
213.5;0.00;174.24;154.61;11.66;1052.3;775.48;28.00;4593978588.00
213.5;0.00;174.24;154.61;11.66;1052.3;775.48;56.00;514349096.00
